,id,长度,句数,被动,总词数,连副词
0,1202004779.txt,8042,92,0,3912,175
1,1212729203.txt,7542,74,1,4081,186
2,1212748856.txt,5256,65,0,2814,110
3,1202267037.txt,7345,78,5,3779,148
4,59364377.txt,17573,191,5,8927,311
5,1205949380.txt,16161,155,0,7659,307
6,62295361.txt,15323,140,5,8002,303
7,1202091283.txt,14354,115,0,4804,142
8,1200692433.txt,8341,79,1,4490,199
9,1205968131.txt,42029,428,8,22979,701
10,57632375.txt,3240,32,6,1738,98
11,1204661383.txt,24371,227,2,10013,338
12,62232243.txt,6352,75,0,3281,155
13,1204495872.txt,50241,493,4,25396,1088
14,1207695374.txt,0,0,0,0,0
15,1203241995.txt,442,0,0,168,0
16,1204791273.txt,19130,184,8,8357,232
17,1202164373.txt,13857,122,2,6084,237
18,38434651.txt,5233,91,2,2877,131
19,1212943719.txt,9574,100,2,5176,320
20,1203359903.txt,17183,156,2,8024,246
21,1213024660.txt,0,0,0,0,0
22,62375320.txt,15474,151,5,6920,283
23,1203183087.txt,28617,305,10,15135,556
24,1200588238.txt,3221,36,0,1635,52
25,1209637253.txt,0,0,0,0,0
26,1213176936.txt,7063,77,2,3766,181
27,60742495.txt,5280,52,4,2926,141
28,1209669040.txt,19997,212,7,9458,337
29,57870901.txt,285,3,0,121,1
30,1213019924.txt,11800,125,1,5976,228
31,1205913571.txt,5411,41,0,2867,123
32,1212751974.txt,18208,221,4,8727,297
33,59160832.txt,10068,136,1,5270,170
34,1209859704.txt,47373,483,10,24748,836
35,62237032.txt,13172,154,2,7194,278
36,1203242837.txt,0,0,0,0,0
37,1209793703.txt,32260,299,2,15683,514
38,1212768883.txt,11491,101,4,5139,198
39,1202116267.txt,9474,114,0,4955,208
40,1202219016.txt,13112,105,0,4816,187
41,63828215.txt,23936,308,11,13901,533
42,1213268024.txt,0,0,0,0,0
43,58943047.txt,4792,67,0,2656,136
44,57818722.txt,14009,97,7,6312,152
45,1206125338.txt,4271,60,0,2239,97
46,1212943435.txt,12442,122,1,5976,206
47,59229537.txt,26412,294,4,13619,522
48,1207394586.txt,7067,69,1,3836,177
49,1204801654.txt,8790,127,3,4775,187
50,1206056824.txt,2762,8,0,687,37
51,1207601247.txt,9771,107,3,5230,220
52,1209813545.txt,18950,170,15,9185,412
53,60496075.txt,15597,102,0,6147,240
54,1204484174.txt,34150,312,5,17053,446
55,1202123141.txt,8779,118,1,4707,174
56,1209874880.txt,5339,55,1,2741,106
57,59138388.txt,9771,140,5,5228,199
58,59305409.txt,6929,83,2,3562,151
59,62279559.txt,20464,116,1,8015,215
60,1203184214.txt,3973,64,0,1962,78
61,1204552866.txt,25749,197,2,9179,301
62,63928632.txt,4422,52,1,2391,105
63,1209867442.txt,12338,88,2,5155,207
64,1212965793.txt,15558,170,3,7730,280
65,1203389970.txt,5068,54,1,2571,103
66,1207430363.txt,38939,365,1,16587,426
67,63687074.txt,4162,63,4,2212,76
68,59405541.txt,5676,69,3,2978,142
69,1204554458.txt,11739,143,5,6287,278
70,1205931076.txt,3999,48,2,2134,76
71,1201721749.txt,8701,60,3,3583,109
72,1209152936.txt,9323,78,2,4049,135
73,1206472564.txt,28286,236,2,13812,436
74,1207645336.txt,27376,127,0,9640,253
75,1202113999.txt,35443,332,9,17336,477
76,1202821568.txt,57149,361,6,27799,616
77,1200866755.txt,10427,110,3,4537,186
78,1203298577.txt,17277,152,2,6345,231
79,63916613.txt,7523,97,1,3994,185
80,1200768684.txt,0,0,0,0,0
81,1209514954.txt,18523,210,8,9008,322
82,62121154.txt,6636,83,2,3503,183
83,59207384.txt,28036,291,12,14199,566
